,Identifier,SEDOL,PriceDate,Close,Close_crawler,Pricedate_crawler
375,3966.T,BYZ6P94,7/11/2019 0:00,2504.0,2504,07/14/2019 18:27
376,PPH.NZ,BYW3KV5,7/11/2019 0:00,3.4,3.40,07/14/2019 18:27
377,CASS.OQ,2086558,7/11/2019 0:00,48.65,48.65,07/14/2019 18:27
378,PAYS.OQ,BJRFDF6,7/11/2019 0:00,16.14,16.14,07/14/2019 18:27
379,2120.T,B1FM483,7/11/2019 0:00,513.0,513,07/14/2019 18:27
380,EML.AX,B7ZGK34,7/11/2019 0:00,3.12,3.12,07/14/2019 18:27
381,HUB.AX,BD4T5X1,7/11/2019 0:00,11.9,11.90,07/14/2019 18:27
382,JT.N,BF17R69,7/11/2019 0:00,3.95,3.95,07/14/2019 18:27
383,DFIN.N,BYND5T7,7/11/2019 0:00,13.81,13.81,07/14/2019 18:27
384,USAT.O,B0Z7XX9,7/11/2019 0:00,7.25,7.25,07/14/2019 18:27
385,IIIV.OQ,BF2G4D1,7/11/2019 0:00,28.97,28.97,07/14/2019 18:27
386,060250.KQ,6434562,7/11/2019 0:00,19550.0,19550.00,07/14/2019 18:27
387,035600.KQ,6665027,7/11/2019 0:00,14350.0,14350.00,07/14/2019 18:27
388,8076.TWO,6714781,7/11/2019 0:00,41.8,41.80,07/14/2019 18:27
389,3836.T,B1M7PY4,7/11/2019 0:00,2049.0,2049,07/14/2019 18:27
390,3611.TWO,B3K3XR7,7/11/2019 0:00,293.0,293.00,07/14/2019 18:27
391,3491.T,BFWVYJ2,7/11/2019 0:00,3940.0,3940,07/14/2019 18:27
392,3630.T,B3DDYJ3,7/11/2019 0:00,3475.0,3475,07/14/2019 18:27
393,063570.KQ,B0X7F35,7/11/2019 0:00,8060.0,8060.00,07/14/2019 18:27
394,UEPS.OQ,B0B0WZ7,7/11/2019 0:00,4.07,4.07,07/14/2019 18:27
